,index,cardId,cardType,name,img,regulation,setNum,setCount,rarity,dexNum,dexClass,height,weight,dexDesc,author,desc,stage,hp,pType,ability,abilityDesc,waza1Cost,waza1Name,waza1Damage,waza1Desc,waza2Cost,waza2Name,waza2Damage,waza2Desc,GXCost,GXName,GXDamage,GXDesc,weakType,weakValue,resistType,resistValue,escape,spRule
137,138,30138,pokemon,ドサイドン,/assets/images/card_images/large/XY1-By/030138_P_DOSAIDON.jpg,XY1-By,33,60,rare_r_c,464,ドリルポケモン,2.4,282.8,手のひらの 穴から イシツブテを 発射。 全身の プロテクターは 火山の 噴火にも 耐えられる。,Naoki Saito,,2 進化,160,['fighting'],,,['fighting'],ロックブラスト,50×,このポケモンについているfightingエネルギーの数ぶんコインを投げ、オモテの数×50ダメージ。,"['fighting', 'fighting', 'none', 'none']",がんせきほう,130,このワザのダメージは弱点・抵抗力の計算をしない。次の自分の番、このポケモンはワザを使えない。,,,,,grass,×2,,,4,
138,139,30139,pokemon,ソルロック,/assets/images/card_images/large/XY1-By/030139_P_SORUROKKU.jpg,XY1-By,34,60,rare_c_c,338,いんせきポケモン,1.2,154.0,太陽エネルギーが パワーの 源 なので 昼間は 強い。 回転すると 体が 光る。,kawayoo,,たね,90,['fighting'],,,['none'],コスモスピン,10＋,自分のベンチに「ルナトーン」がいるなら、30ダメージを追加。,"['fighting', 'fighting', 'none']",ソーラービーム,60,,,,,,grass,×2,,,2,
139,140,30140,pokemon,マーイーカ,/assets/images/card_images/large/XY1-By/030140_P_MAIKA.jpg,XY1-By,35,60,rare_c_c,686,かいてんポケモン,0.4,3.5,発光体の 点滅を 見つめた 相手は 目が くらみ 戦う 気持ちが なくなってしまうのだ。,5ban Graphics,,たね,60,['dark'],さかさましんか,この特性は、このポケモンがこんらんなら、自分の番に1回使える。このポケモンから進化するカードを、自分の山札から1枚選び、このポケモンにのせて進化させる。そして山札を切る。,['dark'],へんなねんぱ,,おたがいのバトルポケモンを、それぞれこんらんにする。,,,,,,,,,fighting,×2,psychic,－20,1,
140,141,30141,pokemon,カラマネロ,/assets/images/card_images/large/XY1-By/030141_P_KARAMANERO.jpg,XY1-By,36,60,rare_u_c,687,ぎゃくてんポケモン,1.5,47.0,ポケモンで 一番 強力な 催眠術を 使う。 相手を 意のままに 操ってしまうのだ。,5ban Graphics,,1 進化,100,['dark'],,,['dark'],ブレイントラッシュ,,相手はコインを4回投げ、ウラの数ぶん、相手は相手自身の手札を選び、トラッシュする。,"['dark', 'none', 'none']",げんかくビーム,30,コインを1回投げオモテなら、相手のバトルポケモンをねむりにする。ウラなら、相手のバトルポケモンをこんらんにする。,,,,,fighting,×2,psychic,－20,1,
141,142,30142,pokemon,イベルタルEX,/assets/images/card_images/large/XY1-By/030142_P_IBERUTARUEX.jpg,XY1-By,37,60,rare_rr,,,,,,5ban Graphics,,たね,170,['dark'],,,"['dark', 'none']",イビルボール,20＋,おたがいのバトルポケモンについているエネルギーの数×20ダメージを追加。,"['dark', 'none', 'none']",サイクロンY,90,このポケモンについているエネルギーを1個選び、ベンチポケモンにつけ替える。,,,,,electric,×2,fighting,－20,2,ポケモンEXがきぜつしたとき、相手はサイドを2枚とる。
142,143,30143,pokemon,ヒトツキ,/assets/images/card_images/large/XY1-By/030143_P_HITOTSUKI.jpg,XY1-By,38,60,rare_c_c,679,とうけんポケモン,0.8,2.0,死者の 魂が 古代の 剣に 宿って 生まれたらしい。 人に とりつき 命を 吸う。,5ban Graphics,,たね,60,['steel'],,,['steel'],つきさす,10,,,,,,,,,,fire,×2,psychic,－20,2,
143,144,30144,pokemon,ニダンギル,/assets/images/card_images/large/XY1-By/030144_P_NIDANGIRU.jpg,XY1-By,39,60,rare_c_c,680,とうけんポケモン,0.8,4.5,進化して ２本に 分裂した。 テレパシーで 会話して 連係攻撃で 敵を 切り刻む。,5ban Graphics,,1 進化,80,['steel'],,,"['steel', 'none']",にだんぎり,30×,コインを2回投げ、オモテの数×30ダメージ。,,,,,,,,,fire,×2,psychic,－20,2,
144,145,30145,pokemon,ギルガルド,/assets/images/card_images/large/XY1-By/030145_P_GIRUGARUDO.jpg,XY1-By,40,60,rare_u_c,681,おうけんポケモン,1.7,53.0,歴代の 王が 連れていた。 霊力で 人や ポケモンの 心を 操り 従わせる。,5ban Graphics,,2 進化,140,['steel'],バトルスイッチ,自分の手札から「ギルガルド」を1枚選び、このカードと入れ替える（ついているカード・ダメカン・特殊状態・効果などは、すべて引きつぐ）。この特性は、自分の番に1回使える。,"['steel', 'steel', 'none', 'none']",バスタースイング,120,このワザのダメージは抵抗力の計算をしない。,,,,,,,,,fire,×2,psychic,－20,3,
145,146,30146,pokemon,ギルガルド,/assets/images/card_images/large/XY1-By/030146_P_GIRUGARUDO.jpg,XY1-By,41,60,rare_r_c,681,おうけんポケモン,1.7,53.0,歴代の 王が 連れていた。 霊力で 人や ポケモンの 心を 操り 従わせる。,5ban Graphics,,2 進化,140,['steel'],バトルスイッチ,自分の手札から「ギルガルド」を1枚選び、このカードと入れ替える（ついているカード・ダメカン・特殊状態・効果などは、すべて引きつぐ）。この特性は、自分の番に1回使える。,"['steel', 'steel', 'none', 'none']",キングシールド,50,次の相手の番、このポケモンはワザのダメージを受けない。次の自分の番、このポケモンは「キングシールド」を使えない。,,,,,,,,,fire,×2,psychic,－20,3,
146,147,30147,pokemon,プリン,/assets/images/card_images/large/XY1-By/030147_P_PURIN.jpg,XY1-By,42,60,rare_c_c,39,ふうせんポケモン,0.5,5.5,まるくて 大きい 瞳で 誘いこみ 心地よい 歌を 歌い 相手を 眠らせる。,Kanako Eo,,たね,60,['fairy'],,,['none'],ころがる,10,,['fairy'],まごころのうた,,相手のバトルポケモンについているdarkエネルギーを1個選び、トラッシュする。,,,,,steel,×2,dark,－20,1,
147,148,30148,pokemon,プクリン,/assets/images/card_images/large/XY1-By/030148_P_PUKURIN.jpg,XY1-By,43,60,rare_u_c,40,ふうせんポケモン,1.0,12.0,２匹 寄り添いあうと お互いの 毛皮が 気持ち良すぎて 離れられなく なってしまう。,Mizue,,1 進化,100,['fairy'],,,['none'],エナジーコントロール,,自分の山札から基本エネルギーを1枚選び、自分のポケモンにつける。そして山札を切る。,"['fairy', 'none', 'none']",パンプロピン,60,次の相手の番、このワザを受けたポケモンは、ワザを使えない。,,,,,steel,×2,dark,－20,1,
148,149,30149,pokemon,シュシュプ,/assets/images/card_images/large/XY1-By/030149_P_SHUSHUPU.jpg,XY1-By,44,60,rare_c_c,682,こうすいポケモン,0.2,0.5,かいだ 者を うっとりさせる 香りを 体から 漂わせる。 食べた もので 香りが 変わる。,5ban Graphics,,たね,50,['fairy'],,,['fairy'],あまいかおり,,自分のポケモンを1匹選び、HPを「20」回復する。,"['none', 'none']",はねまわる,20,,,,,,steel,×2,dark,－20,1,
149,150,30150,pokemon,フレフワン,/assets/images/card_images/large/XY1-By/030150_P_FUREFUWAN.jpg,XY1-By,45,60,rare_r_c,683,ほうこうポケモン,0.8,15.5,さまざまな においを 作り出す。 相手の 嫌がる においを 出して 戦いを 有利に 進めるのだ。,5ban Graphics,,1 進化,90,['fairy'],フェアリートランス,自分の場のポケモンについているfairyエネルギーを1個選び、自分の別のポケモンにつけ替える。この特性は、自分の番に何回でも使える。,"['fairy', 'fairy', 'none']",ようせいのかぜ,60,,,,,,,,,,steel,×2,dark,－20,2,
150,151,30151,pokemon,ドードー,/assets/images/card_images/large/XY1-By/030151_P_DODO.jpg,XY1-By,46,60,rare_c_c,84,ふたごどりポケモン,1.4,39.2,突然変異で 見つかった ２つの 頭を 持つ ポケモン。 時速１００キロで 走る。,Sumiyoshi Kizuki,,たね,70,['none'],,,"['none', 'none', 'none']",ダブルアタック,30×,コインを2回投げ、オモテの数×30ダメージ。,,,,,,,,,electric,×2,fighting,－20,1,
151,152,30152,pokemon,ドードリオ,/assets/images/card_images/large/XY1-By/030152_P_DODORIO.jpg,XY1-By,47,60,rare_c_c,85,みつごどりポケモン,1.8,85.2,３つの 頭が 見ている前で わずかでも すきを 見せると クチバシで 激しく つつかれる。,Kanako Eo,,1 進化,90,['none'],,,['none'],いかり,20＋,このポケモンにのっているダメカンの数×10ダメージを追加。,"['none', 'none', 'none']",がむしゃら,50＋,コインを2回投げ、オモテの数×20ダメージを追加。,,,,,electric,×2,fighting,－20,1,
152,153,30153,pokemon,エネコ,/assets/images/card_images/large/XY1-By/030153_P_ENEKO.jpg,XY1-By,48,60,rare_c_c,300,こねこポケモン,0.6,11.0,動くものを つい 追ってしまう。 自分の 尻尾を 追いかけて 同じ 場所を グルグル 回る。,kawayoo,,たね,50,['none'],,,['none'],いやしのすず,,自分のポケモン全員のHPを、それぞれ「10」回復する。,['none'],しっぽではたく,10,,,,,,fighting,×2,,,1,
153,154,30154,pokemon,エネコロロ,/assets/images/card_images/large/XY1-By/030154_P_ENEKORORO.jpg,XY1-By,49,60,rare_u_c,301,おすましポケモン,1.1,32.6,汚い 場所が 大嫌い。 居心地の 良い 場所で いつも 毛並みを 手入れしている。,Suwama Chiaki,,1 進化,80,['none'],,,['none'],エネサロン,,自分の山札から、それぞれちがうタイプの基本エネルギーを3枚まで選び、相手に見せてから、手札に加える。そして山札を切る。,"['none', 'none']",ねこだまし,30,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,fighting,×2,,,1,
154,155,30155,pokemon,ビッパ,/assets/images/card_images/large/XY1-By/030155_P_BIPPA.jpg,XY1-By,50,60,rare_c_c,399,まるねずみポケモン,0.5,20.0,なにごとにも 動じない 図太い 神経の 持ち主。 見かけの 割には 機敏に 活動する。,Kagemaru Himeno,,たね,60,['none'],,,"['none', 'none']",ひっさつまえば,40,コインを1回投げウラなら、このワザは失敗。,,,,,,,,,fighting,×2,,,3,
155,156,30156,pokemon,ビーダル,/assets/images/card_images/large/XY1-By/030156_P_BIDARU.jpg,XY1-By,51,60,rare_c_c,400,ビーバーポケモン,1.0,31.5,鋭い 前歯で 削り取った 木の枝や 根っこを 積み上げて 水辺に せっせと 巣を 作る。,Kyoko Umemoto,,1 進化,100,['none'],,,"['none', 'none']",にどずつき,30×,コインを2回投げ、オモテの数×30ダメージ。,"['none', 'none', 'none']",ヒプノヘッド,60＋,のぞむなら、30ダメージを追加してよい。その場合、このポケモンをねむりにする。,,,,,fighting,×2,,,3,
156,157,30157,pokemon,ヤヤコマ,/assets/images/card_images/large/XY1-By/030157_P_YAYAKOMA.jpg,XY1-By,52,60,rare_c_c,661,コマドリポケモン,0.3,1.7,人懐っこい 性格。 美しい さえずりと 尾羽を 振る 動きで 仲間に 合図を 送る。,5ban Graphics,,たね,50,['none'],,,['none'],さきどり,,自分の山札を1枚引く。,"['none', 'none']",つつく,20,,,,,,electric,×2,fighting,－20,1,
157,158,30158,pokemon,トリミアン,/assets/images/card_images/large/XY1-By/030158_P_TORIMIAN.jpg,XY1-By,53,60,rare_r_c,676,プードルポケモン,1.2,28.0,ボサボサの 体毛を 刈りこむと 姿が 美しくなる だけでなく 身体の キレが 良くなるのだ。,5ban Graphics,,たね,90,['none'],ファーコート,このポケモンが受けるワザのダメージは「-20」される。,"['none', 'none', 'none']",エナジーカット,80,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,fighting,×2,,,1,
158,159,30159,グッズ,いいきずぐすり,/assets/images/card_images/large/XY1-By/030159_T_IIKIZUGUSURI.jpg,XY1-By,54,60,rare_u_c,,,,,,5ban Graphics,自分のポケモンを1匹選び、HPを「60」回復する。回復した場合、そのポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,,,,,,,,,,,,,,,
159,160,30160,グッズ,はかせのてがみ,/assets/images/card_images/large/XY1-By/030160_T_HAKASENOTEGAMI.jpg,XY1-By,55,60,rare_u_c,,,,,,5ban Graphics,自分の山札から基本エネルギーを2枚まで選び、相手に見せてから、手札に加える。そして山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
160,161,30161,グッズ,レッドカード,/assets/images/card_images/large/XY1-By/030161_T_REDDOKADO.jpg,XY1-By,56,60,rare_u_c,,,,,,5ban Graphics,相手は相手自身の手札をすべて山札にもどし、山札を切る。その後、相手は山札を4枚引く。,,,,,,,,,,,,,,,,,,,,,,,
161,162,30162,ポケモンのどうぐ,かたいおまもり,/assets/images/card_images/large/XY1-By/030162_T_KATAIOMAMORI.jpg,XY1-By,57,60,rare_u_c,,,,,,5ban Graphics,このカードをつけているポケモンが、相手のポケモンから受けるワザのダメージは「-20」される。,,,,,,,,,,,,,,,,,,,,,,,
162,163,30163,サポート,クロケア,/assets/images/card_images/large/XY1-By/030163_T_KUROKEA.jpg,XY1-By,58,60,rare_u_c,,,,,,Masakazu Fukuda,自分のポケモンを1匹選び、そのポケモンと、ついているすべてのカードを、山札にもどす。そして山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
163,164,30164,サポート,ティエルノ,/assets/images/card_images/large/XY1-By/030164_T_TEIERUNO.jpg,XY1-By,59,60,rare_u_c,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
164,165,30165,特殊エネルギー,ダブル無色エネルギー,/assets/images/card_images/large/XY1-By/030165_E_DABURUMUSHOKUENERUGI.jpg,XY1-By,60,60,rare_u_c,,,,,,,このカードは、noneエネルギー2個ぶんとしてはたらく。,,,,,,,,,,,,,,,,,,,,,,,
165,166,30166,サポート,フレア団のしたっぱ,/assets/images/card_images/large/XYP/030166_T_FUREADANNOSHITAPPA.jpg,XYP,,XY-P,,,,,,,Yusuke Ohmura,相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,,,,,,,,,,,,,,,
166,167,30167,pokemon,ピカチュウ,/assets/images/card_images/large/XYP/030167_P_PIKACHUU.jpg,XYP,1,Y-P,,25,ねずみポケモン,0.4,6.0,尻尾を 立てて まわりの 様子を 探っていると ときどき 雷が 尻尾に 落ちてくる。,Sanosuke Sakuma,,たね,60,['electric'],,,"['electric', 'none']",でんきショック,20,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,,,,,fighting,×2,steel,－20,1,
167,168,30168,グッズ,ポケモンいれかえ,/assets/images/card_images/large/HXY/030168_T_POKEMONIREKAE.jpg,HXY,36,39,,,,,,,5ban Graphics,自分のバトルポケモンをベンチポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
168,169,30169,グッズ,ポケモンいれかえ,/assets/images/card_images/large/HXY/030169_T_POKEMONIREKAE.jpg,HXY,36,39,,,,,,,5ban Graphics,自分のバトルポケモンをベンチポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
169,170,30170,グッズ,モンスターボール,/assets/images/card_images/large/HXY/030170_T_MONSUTABORU.jpg,HXY,38,39,,,,,,,5ban Graphics,コインを1回投げオモテなら、自分の山札からポケモンを1枚選び、相手に見せてから、手札に加える。そして山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
170,171,30171,グッズ,モンスターボール,/assets/images/card_images/large/HXY/030171_T_MONSUTABORU.jpg,HXY,38,39,,,,,,,5ban Graphics,コインを1回投げオモテなら、自分の山札からポケモンを1枚選び、相手に見せてから、手札に加える。そして山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
171,172,30172,サポート,ティエルノ,/assets/images/card_images/large/HXY/030172_T_TEIERUNO.jpg,HXY,39,39,,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
172,173,30173,サポート,ティエルノ,/assets/images/card_images/large/HXY/030173_T_TEIERUNO.jpg,HXY,39,39,,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
173,174,30174,pokemon,ライチュウ,/assets/images/card_images/large/XYP/030174_P_RAICHUU.jpg,XYP,2,Y-P,,26,ねずみポケモン,0.8,30.0,電気が たまってくると 筋肉が 刺激され いつもより 攻撃的に なってしまう。,Sanosuke Sakuma,,1 進化,90,['electric'],,,"['electric', 'none']",でんきショック,30,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,"['electric', 'electric', 'none']",エレキボール,80,,,,,,fighting,×2,steel,－20,1,
174,175,30175,pokemon,プリン,/assets/images/card_images/large/X30/030175_P_PURIN.jpg,X30,1,14,,39,ふうせんポケモン,0.5,5.5,まるくて 大きい 瞳で 誘いこみ 心地よい 歌を 歌い 相手を 眠らせる。,Sanosuke Sakuma,,たね,70,['fairy'],,,"['fairy', 'none']",のしかかり,20,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,,,,,steel,×2,dark,－20,2,
175,176,30176,pokemon,プクリン,/assets/images/card_images/large/X30/030176_P_PUKURIN.jpg,X30,2,14,,40,ふうせんポケモン,1.0,12.0,２匹 寄り添いあうと お互いの 毛皮が 気持ち良すぎて 離れられなく なってしまう。,Kagemaru Himeno,,1 進化,100,['fairy'],,,['none'],バルーンボンバー,20×,このポケモンについているエネルギーの数×20ダメージ。,"['fairy', 'fairy', 'none']",すてみタックル,90,このポケモンにも10ダメージ。,,,,,steel,×2,dark,－20,2,
176,177,30177,pokemon,バリヤード,/assets/images/card_images/large/X30/030177_P_BARIYADO.jpg,X30,3,14,,122,バリアーポケモン,1.3,54.5,指先から 出す 波動が 空気を 固めて 壁を 作る。 激しい 攻撃も 跳ね返す。,Mizue,,たね,80,['fairy'],,,"['fairy', 'none']",モミモミ,,自分のベンチポケモンを1匹選び、HPを「60」回復する。,"['fairy', 'none', 'none']",はたきこみ,40＋,コインを2回投げ、オモテの数×20ダメージを追加。,,,,,steel,×2,dark,－20,2,
177,178,30178,pokemon,フラベベ,/assets/images/card_images/large/X30/030178_P_FURABEBE.jpg,X30,4,14,,669,いちりんポケモン,0.1,0.1,花の 秘めた 力を 引き出して 自在に 操る。 フラベベが 持つ 花は もはや 体の 一部だ。,5ban Graphics,,たね,40,['fairy'],,,['none'],はっぱカッター,10,,,,,,,,,,steel,×2,dark,－20,1,
178,179,30179,pokemon,フラエッテ,/assets/images/card_images/large/X30/030179_P_FURAETTE.jpg,X30,5,14,,670,いちりんポケモン,0.2,0.9,花畑を 飛び回り 枯れかけた 花を 世話する。 花の 秘められた 力を 引き出して 戦う。,5ban Graphics,,1 進化,70,['fairy'],,,['fairy'],はなふぶき,,相手のポケモン全員に、それぞれ10ダメージ。［ベンチは弱点・抵抗力の計算をしない。］,"['fairy', 'none']",はっぱカッター,30,,,,,,steel,×2,dark,－20,1,
179,180,30180,pokemon,シュシュプ,/assets/images/card_images/large/X30/030180_P_SHUSHUPU.jpg,X30,6,14,,682,こうすいポケモン,0.2,0.5,かいだ 者を うっとりさせる 香りを 体から 漂わせる。 食べた もので 香りが 変わる。,5ban Graphics,,たね,50,['fairy'],,,['fairy'],ようせいのかぜ,10,,"['fairy', 'none']",きまぐれこうげき,30,コインを1回投げウラなら、このワザは失敗。,,,,,steel,×2,dark,－20,1,
180,181,30181,pokemon,ゼルネアス,/assets/images/card_images/large/X30/030181_P_ZERUNEASU.jpg,X30,7,14,,716,せいめいポケモン,3.0,215.0,永遠の 命を 分け与えると 言われている。 樹木の 姿で １０００年 眠り 復活する。,5ban Graphics,,たね,130,['fairy'],,,['fairy'],ジオコントロール,,自分のベンチポケモンを2匹選び、山札からfairyエネルギーを、選んだポケモンにそれぞれ1枚ずつつける。そして山札を切る。,"['fairy', 'fairy', 'none']",にじのやり,100,このポケモンについているエネルギーを1個選び、トラッシュする。,,,,,steel,×2,dark,－20,2,
181,182,30182,グッズ,きずぐすり,/assets/images/card_images/large/X30/030182_T_KIZUGUSURI.jpg,X30,8,14,,,,,,,5ban Graphics,自分のポケモンを1匹選び、HPを「30」回復する。,,,,,,,,,,,,,,,,,,,,,,,
182,183,30183,グッズ,スーパーボール,/assets/images/card_images/large/X30/030183_T_SUPABORU.jpg,X30,9,14,,,,,,,Toyste Beach,自分の山札を上から7枚見る。その中からポケモンを1枚選び、相手に見せてから、手札に加えてよい。残りのカードは山札にもどし、山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
183,184,30184,グッズ,ポケモンいれかえ,/assets/images/card_images/large/X30/030184_T_POKEMONIREKAE.jpg,X30,10,14,,,,,,,5ban Graphics,自分のバトルポケモンをベンチポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
184,185,30185,グッズ,ポケモンキャッチャー,/assets/images/card_images/large/X30/030185_T_POKEMONKYACCHA.jpg,X30,11,14,,,,,,,5ban Graphics,コインを1回投げオモテなら、相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
185,186,30186,サポート,サナ,/assets/images/card_images/large/X30/030186_T_SANA.jpg,X30,12,14,,,,,,,Ken Sugimori,自分の手札をすべて山札にもどし、山札を切る。その後、山札を5枚引く。,,,,,,,,,,,,,,,,,,,,,,,
186,187,30187,サポート,ティエルノ,/assets/images/card_images/large/X30/030187_T_TEIERUNO.jpg,X30,13,14,,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
187,188,30188,スタジアム,フェアリーガーデン,/assets/images/card_images/large/X30/030188_T_FEARIGADEN.jpg,X30,14,14,,,,,,,Ryo Ueda,fairyエネルギーがついているおたがいのポケモン全員のにげるために必要なエネルギーは、すべてなくなる。,,,,,,,,,,,,,,,,,,,,,,,
188,189,30189,基本エネルギー,基本フェアリーエネルギー,/assets/images/card_images/large/X30/030189_E_KIHONYOUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,190,30190,pokemon,ニューラ,/assets/images/card_images/large/Y30/030190_P_NYURA.jpg,Y30,1,14,,215,かぎづめポケモン,0.9,28.0,住処から タマゴを かすめ取り 食べてしまう。 鋭い カギヅメが 相手の 急所を 切り裂く。,match,,たね,60,['dark'],,,['none'],こごえるかぜ,,相手のバトルポケモンをねむりにする。,"['dark', 'none']",ひっかく,20,,,,,,fighting,×2,psychic,－20,1,
190,191,30191,pokemon,ヤミラミ,/assets/images/card_images/large/Y30/030191_P_YAMIRAMI.jpg,Y30,2,14,,302,くらやみポケモン,0.5,11.0,洞窟の 暗闇に 潜む。 宝石を 食べているうちに 目が 宝石に なってしまった。,Shigenori Negishi,,たね,80,['dark'],,,['none'],くすねる,,自分の山札を1枚引く。,"['dark', 'none']",はかいのツメ,30,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,1,
191,192,30192,pokemon,メグロコ,/assets/images/card_images/large/Y30/030192_P_MEGUROKO.jpg,Y30,3,14,,551,さばくワニポケモン,0.7,15.2,砂の 中に 潜り 目と 鼻を 外に 出して 移動する。 黒い 膜が 目を 守る。,Masakazu Fukuda,,たね,70,['dark'],,,"['dark', 'none']",ふいをつく,40,コインを1回投げウラなら、このワザは失敗。,,,,,,,,,fighting,×2,psychic,－20,2,
192,193,30193,pokemon,ワルビル,/assets/images/card_images/large/Y30/030193_P_WARUBIRU.jpg,Y30,4,14,,552,さばくワニポケモン,1.0,33.4,数匹で 群れを 作る。 眼球を カバーする 膜が 砂嵐から 目を 守る。,Naoki Saito,,1 進化,90,['dark'],,,['dark'],くらいつく,10,次の相手の番、このワザを受けたポケモンは、にげられない。,"['dark', 'none', 'none']",ダブルスイング,60×,コインを2回投げ、オモテの数×60ダメージ。,,,,,fighting,×2,psychic,－20,2,
193,194,30194,pokemon,マーイーカ,/assets/images/card_images/large/Y30/030194_P_MAIKA.jpg,Y30,5,14,,686,かいてんポケモン,0.4,3.5,発光体の 点滅を 見つめた 相手は 目が くらみ 戦う 気持ちが なくなってしまうのだ。,5ban Graphics,,たね,50,['dark'],,,['none'],たいあたり,10,,"['dark', 'none']",つらぬく,20,このワザのダメージは抵抗力の計算をしない。,,,,,fighting,×2,psychic,－20,1,
194,195,30195,pokemon,カラマネロ,/assets/images/card_images/large/Y30/030195_P_KARAMANERO.jpg,Y30,6,14,,687,ぎゃくてんポケモン,1.5,47.0,ポケモンで 一番 強力な 催眠術を 使う。 相手を 意のままに 操ってしまうのだ。,5ban Graphics,,1 進化,100,['dark'],,,['none'],ブレインパニック,30,次の相手の番、このワザを受けたポケモンがワザを使うとき、相手はコインを1回投げる。ウラならそのワザは失敗。,"['dark', 'dark', 'none']",つらぬく,70,このワザのダメージは抵抗力の計算をしない。,,,,,fighting,×2,psychic,－20,2,
195,196,30196,pokemon,イベルタル,/assets/images/card_images/large/Y30/030196_P_IBERUTARU.jpg,Y30,7,14,,717,はかいポケモン,5.8,203.0,翼と 尾羽を 広げて 赤く 輝くとき 生き物の 命を 吸い取る 伝説の ポケモン。,5ban Graphics,,たね,130,['dark'],,,['dark'],デスウイング,30,自分のトラッシュからdarkエネルギーを1枚選び、ベンチポケモンにつける。,"['dark', 'dark', 'none']",やみのやいば,100,コインを1回投げウラなら、次の自分の番、このポケモンはワザを使えない。,,,,,electric,×2,fighting,－20,2,
196,197,30197,グッズ,クラッシュハンマー,/assets/images/card_images/large/Y30/030197_T_KURASSHUHANMA.jpg,Y30,8,14,,,,,,,5ban Graphics,コインを1回投げオモテなら、相手の場のポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,,,,,,,,,,,,,,,
197,198,30198,グッズ,スーパーボール,/assets/images/card_images/large/Y30/030198_T_SUPABORU.jpg,Y30,9,14,,,,,,,Toyste Beach,自分の山札を上から7枚見る。その中からポケモンを1枚選び、相手に見せてから、手札に加えてよい。残りのカードは山札にもどし、山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
198,199,30199,グッズ,ポケモンいれかえ,/assets/images/card_images/large/Y30/030199_T_POKEMONIREKAE.jpg,Y30,10,14,,,,,,,5ban Graphics,自分のバトルポケモンをベンチポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
199,200,30200,グッズ,ポケモンキャッチャー,/assets/images/card_images/large/Y30/030200_T_POKEMONKYACCHA.jpg,Y30,11,14,,,,,,,5ban Graphics,コインを1回投げオモテなら、相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
200,201,30201,サポート,サナ,/assets/images/card_images/large/Y30/030201_T_SANA.jpg,Y30,12,14,,,,,,,Ken Sugimori,自分の手札をすべて山札にもどし、山札を切る。その後、山札を5枚引く。,,,,,,,,,,,,,,,,,,,,,,,
201,202,30202,サポート,ティエルノ,/assets/images/card_images/large/Y30/030202_T_TEIERUNO.jpg,Y30,13,14,,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
202,203,30203,スタジアム,シャドーサークル,/assets/images/card_images/large/Y30/030203_T_SHADOSAKURU.jpg,Y30,14,14,,,,,,,Ryo Ueda,darkエネルギーがついているおたがいのポケモン全員の弱点は、すべてなくなる。,,,,,,,,,,,,,,,,,,,,,,,
203,204,30204,基本エネルギー,基本悪エネルギー,/assets/images/card_images/large/Y30/030204_E_KIHONAKUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,205,30205,グッズ,エネルギー回収,/assets/images/card_images/large/XYP/030205_T_ENERUGIKAISHUU.jpg,XYP,3,Y-P,,,,,,,5ban Graphics,自分のトラッシュから基本エネルギーを2枚選び、相手に見せてから、手札に加える。,,,,,,,,,,,,,,,,,,,,,,,
205,206,30206,グッズ,エネルギーつけかえ,/assets/images/card_images/large/XYP/030206_T_ENERUGITSUKEKAE.jpg,XYP,4,Y-P,,,,,,,5ban Graphics,自分の場のポケモンについている基本エネルギーを1個選び、自分の別のポケモンにつけ替える。,,,,,,,,,,,,,,,,,,,,,,,
